name,type,franchise,brand,year,condition,acquired,cost,value,notes,isSold,soldDate,soldPrice,ebayListed,ebaySold
Stinkor MOC,Action Figures,Masters of the Universe,Mattel,1987,Used - complete,01/04/18,£233.00,,,FALSE,,,,
Pizza Face MOC,Action Figures,Teenage Mutant Ninja Turtles,Playmates,1990,Used - complete,06/06/18,£33,,,FALSE,,,,
Twinferno MOC,Action Figures,Transformers,Hasbro,2018,Used - complete,01/07/18,£8,,,FALSE,,,,
Twinferno MOC,Action Figures,Transformers,Hasbro,2018,Used - complete,01/07/18,£8,,,FALSE,,,,
"Slime Pit With Box, Instructions, And Mini Comic",Action Figures,Masters of the Universe,Mattel,1985,Used - complete,26/10/18,£72,,,FALSE,,,,
Vintage Fright Zone,Action Figures,Masters of the Universe,Mattel,1985,Used - complete,27/10/18,£110,,,TRUE,16/11/18,80,,
Vintage slime pit,Action Figures,Masters of the Universe,Mattel,1985,Used - complete,27/10/18,£110,,,TRUE,16/11/18,160,,
Vintage Hordak,Action Figures,Masters of the Universe,Mattel,1985,Used - complete,19/11/18,£23,,,FALSE,,,,
Vintage Skeletor,Action Figures,Masters of the Universe,Mattel,1985,Used - complete,19/11/18,£23,,,FALSE,,,,
Ultimates Club Grayskull Skeletor,Action Figures,Masters of the Universe,Mattel,1985,Used - complete,19/3/19,£52,,,TRUE,17/10/21,116,,
King Hssss (Standard Grade),Action Figures,Masters of the Universe,Mattel,1985,Used - complete,22/3/19,£21,,,FALSE,17/10/21,30,,
Club Grayskull Prince Adam (Laughing),Action Figures,Masters of the Universe,Mattel,1985,Used - complete,22/3/19,£50,,,FALSE,,,,
Production Background Art + Animation Cel,"Movie, TV Show Memorabilia",Teenage Mutant Ninja Turtles,Mirage Studios,1990,Used - complete,15/3/19,£157,,,FALSE,,,,
VINTAGE DONATELLO WITH STORAGE SHELL MOC,Action Figures,Teenage Mutant Ninja Turtles,Playmates,1990,Used - complete,24/3/19,£36,,,FALSE,,,,
